TYPECOM,COM,REG,DEP,CTCD,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,COMPARENT
COM,16345,75,16,16D,163,0,SAINT QUENTIN SUR CHARENTE,Saint-Quentin-sur-Charente,Saint-Quentin-sur-Charente,1610,NA
COM,16346,75,16,16D,161,0,SAINT QUENTIN DE CHALAIS,Saint-Quentin-de-Chalais,Saint-Quentin-de-Chalais,1617,NA
COM,16347,75,16,16D,161,0,SAINT ROMAIN,Saint-Romain,Saint-Romain,1617,NA
COM,16348,75,16,16D,161,0,SAINT SATURNIN,Saint-Saturnin,Saint-Saturnin,1618,NA
COM,16349,75,16,16D,162,0,SAINTE SEVERE,Sainte-Sévère,Sainte-Sévère,1615,NA
COM,16350,75,16,16D,161,0,SAINT SEVERIN,Saint-Séverin,Saint-Séverin,1617,NA
COM,16352,75,16,16D,162,0,SAINT SIMON,Saint-Simon,Saint-Simon,1607,NA
COM,16353,75,16,16D,161,0,SAINT SORNIN,Saint-Sornin,Saint-Sornin,1619,NA
COM,16354,75,16,16D,162,0,SAINTE SOULINE,Sainte-Souline,Sainte-Souline,1609,NA
COM,16355,75,16,16D,162,0,SAINT SULPICE DE COGNAC,Saint-Sulpice-de-Cognac,Saint-Sulpice-de-Cognac,1611,NA
COM,16356,75,16,16D,163,0,SAINT SULPICE DE RUFFEC,Saint-Sulpice-de-Ruffec,Saint-Sulpice-de-Ruffec,1608,NA
COM,16357,75,16,16D,162,0,SAINT VALLIER,Saint-Vallier,Saint-Vallier,1609,NA
COM,16358,75,16,16D,161,0,SAINT YRIEIX SUR CHARENTE,Saint-Yrieix-sur-Charente,Saint-Yrieix-sur-Charente,1614,NA
COM,16359,75,16,16D,162,0,SALLES D ANGLES,Salles-d'Angles,Salles-d'Angles,1607,NA
COM,16360,75,16,16D,162,0,SALLES DE BARBEZIEUX,Salles-de-Barbezieux,Salles-de-Barbezieux,1609,NA
COM,16361,75,16,16D,163,0,SALLES DE VILLEFAGNAN,Salles-de-Villefagnan,Salles-de-Villefagnan,1608,NA
COM,16362,75,16,16D,161,0,SALLES LAVALETTE,Salles-Lavalette,Salles-Lavalette,1617,NA
COM,16363,75,16,16D,163,0,SAULGOND,Saulgond,Saulgond,1610,NA
COM,16364,75,16,16D,163,0,SAUVAGNAC,Sauvagnac,Sauvagnac,1606,NA
COM,16365,75,16,16D,162,0,SAUVIGNAC,Sauvignac,Sauvignac,1609,NA
COM,16366,75,16,16D,162,0,SEGONZAC,Segonzac,Segonzac,1607,NA
COM,16368,75,16,16D,161,0,SERS,Sers,Sers,1604,NA
COM,16369,75,16,16D,162,0,SIGOGNE,Sigogne,Sigogne,1615,NA
COM,16370,75,16,16D,161,0,SIREUIL,Sireuil,Sireuil,1618,NA
COM,16372,75,16,16D,161,0,SOUFFRIGNAC,Souffrignac,Souffrignac,1619,NA
COM,16373,75,16,16D,163,0,SOUVIGNE,Souvigné,Souvigné,1608,NA
COM,16374,75,16,16D,161,0,SOYAUX,Soyaux,Soyaux,1603,NA
COM,16375,75,16,16D,163,0,SUAUX,Suaux,Suaux,1606,NA
COM,16377,75,16,16D,163,3,TACHE,Tâche,La Tâche,1605,NA
COM,16378,75,16,16D,163,0,TAIZE AIZIE,Taizé-Aizie,Taizé-Aizie,1608,NA
COM,16379,75,16,16D,161,0,TAPONNAT FLEURIGNAC,Taponnat-Fleurignac,Taponnat-Fleurignac,1619,NA
COM,16380,75,16,16D,162,2,TATRE,Tâtre,Le Tâtre,1609,NA
COM,16381,75,16,16D,163,0,THEIL RABIER,Theil-Rabier,Theil-Rabier,1608,NA
COM,16382,75,16,16D,161,0,TORSAC,Torsac,Torsac,1604,NA
COM,16383,75,16,16D,163,0,TOURRIERS,Tourriers,Tourriers,1605,NA
COM,16384,75,16,16D,162,0,TOUVERAC,Touvérac,Touvérac,1609,NA
COM,16385,75,16,16D,161,0,TOUVRE,Touvre,Touvre,1616,NA
COM,16387,75,16,16D,162,0,TRIAC LAUTRAIT,Triac-Lautrait,Triac-Lautrait,1615,NA
COM,16388,75,16,16D,161,0,TROIS PALIS,Trois-Palis,Trois-Palis,1618,NA
COM,16389,75,16,16D,163,0,TURGON,Turgon,Turgon,1606,NA
COM,16390,75,16,16D,163,0,TUSSON,Tusson,Tusson,1608,NA
COM,16392,75,16,16D,163,0,VALENCE,Valence,Valence,1605,NA
